drone_id,parameter,value,duration_s
FY1,heading_offset_deg,-2.0,4.428286759172996
FY1,heading_offset_deg,-1.875,4.447753847169609
FY1,heading_offset_deg,-1.75,4.465910833268797
FY1,heading_offset_deg,-1.625,4.4827727483451465
FY1,heading_offset_deg,-1.5,4.498353579154181
FY1,heading_offset_deg,-1.375,4.512661484152921
FY1,heading_offset_deg,-1.25,4.525705744356106
FY1,heading_offset_deg,-1.125,4.537493972475724
FY1,heading_offset_deg,-1.0,4.548031908360539
FY1,heading_offset_deg,-0.875,4.557326522081874
FY1,heading_offset_deg,-0.75,4.5653800358379115
FY1,heading_offset_deg,-0.625,4.572198777505323
FY1,heading_offset_deg,-0.5,4.577782270806483
FY1,heading_offset_deg,-0.375,4.582124023965657
FY1,heading_offset_deg,-0.25,4.585220025306369
FY1,heading_offset_deg,-0.125,4.5870831013451525
FY1,heading_offset_deg,0.0,4.587712375187364
FY1,heading_offset_deg,0.125,4.549170894762067
FY1,heading_offset_deg,0.25,4.51001324169194
FY1,heading_offset_deg,0.375,4.470272550943186
FY1,heading_offset_deg,0.5,4.429939890510278
FY1,heading_offset_deg,0.625,4.3890192846324485
FY1,heading_offset_deg,0.75,4.3475088881668285
FY1,heading_offset_deg,0.875,4.305398046923077
FY1,heading_offset_deg,1.0,4.262689424366759
FY1,heading_offset_deg,1.125,4.219372713445397
FY1,heading_offset_deg,1.25,4.175444810118407
FY1,heading_offset_deg,1.375,4.130898287147479
FY1,heading_offset_deg,1.5,4.085725909289756
FY1,heading_offset_deg,1.625,4.039920281717059
FY1,heading_offset_deg,1.75,3.9934738497186344
FY1,heading_offset_deg,1.875,3.9463741885569683
FY1,heading_offset_deg,2.0,3.8986197348313607
FY1,speed_mps,120.0,4.5782572425826356
FY1,speed_mps,120.66666666666667,4.578655970386789
FY1,speed_mps,121.33333333333333,4.579052461632752
FY1,speed_mps,122.0,4.579440966839016
FY1,speed_mps,122.66666666666667,4.579823342392913
FY1,speed_mps,123.33333333333333,4.580203665868039
FY1,speed_mps,124.0,4.580574552378581
FY1,speed_mps,124.66666666666667,4.580940214508637
FY1,speed_mps,125.33333333333333,4.58130300944426
FY1,speed_mps,126.0,4.581656964830358
FY1,speed_mps,126.66666666666667,4.582005777319908
FY1,speed_mps,127.33333333333333,4.582350503271169
FY1,speed_mps,128.0,4.582687161684067
FY1,speed_mps,128.66666666666666,4.583019148397302
FY1,speed_mps,129.33333333333334,4.5833450982955295
FY1,speed_mps,130.0,4.583664092179344
FY1,speed_mps,130.66666666666666,4.58397888671741
FY1,speed_mps,131.33333333333334,4.58428573714858
