time_s,FY1_worst_distance_m,FY2_worst_distance_m,FY3_worst_distance_m,coverage_count
0.0,,,,0
0.025,,,,0
0.05,,,,0
0.07500000000000001,,,,0
0.1,,,,0
0.125,,,,0
0.15000000000000002,,,,0
0.17500000000000002,,,,0
0.2,,,,0
0.225,,,,0
0.25,,,,0
0.275,,,,0
0.30000000000000004,,,,0
0.325,,,,0
0.35000000000000003,,,,0
0.375,,,,0
0.4,,,,0
0.42500000000000004,,,,0
0.45,,,,0
0.47500000000000003,,,,0
0.5,,,,0
0.525,,,,0
0.55,,,,0
0.5750000000000001,,,,0
0.6000000000000001,,,,0
0.625,,,,0
0.65,,,,0
0.675,,,,0
0.7000000000000001,,,,0
0.7250000000000001,,,,0
0.75,9.955272774473116,,,1
0.775,9.852548935878724,,,1
0.8,9.749788356460007,,,1
0.8250000000000001,9.646990992697754,,,1
0.8500000000000001,9.544156801397643,,,1
0.875,9.441285739714065,,,1
0.9,9.33837776517286,,,1
0.925,9.235432835698361,,,1
0.9500000000000001,9.132450909640177,,,1
0.9750000000000001,9.029431945804617,,,1
1.0,8.926375903483487,,,1
1.0250000000000001,8.823282742491873,,,1
1.05,8.720152423201455,,,1
1.075,8.616984906581948,,,1
1.1,8.513780154241298,,,1
1.125,8.410538128472655,,,1
1.1500000000000001,8.307258792302859,,,1
1.175,8.20394210954307,,,1
1.2000000000000002,8.100588044848447,,,1
1.225,7.997196563775701,,,1
1.25,7.893767632852739,,,1
1.2750000000000001,7.790301219645899,,,1
1.3,7.686797292840822,,,1
1.3250000000000002,7.583255822323224,,,1
1.35,7.479676779270539,,,1
1.375,7.376060136250184,,,1
1.4000000000000001,7.272405867327,,,1
1.425,7.168713948178304,,,1
1.4500000000000002,7.064984356220604,,,1
1.475,6.9612170707493135,,,1
1.5,6.857412073088495,,,1
1.5250000000000001,6.753569346754289,,,1
1.55,6.649688877638703,,,1
1.5750000000000002,6.545770654205674,,,1
1.6,6.441814667707681,,,1
1.625,6.337820912426856,,,1
1.6500000000000001,6.233789385938327,,,1
1.675,6.129720089398095,,,1
1.7000000000000002,6.025613027866317,,,1
1.725,5.9214682106625744,,,1
1.75,5.817285651757734,,,1
1.7750000000000001,5.713065370213121,,,1
1.8,5.60880739066688,,,1
1.8250000000000002,5.504511743874675,,,1
1.85,5.400178467316988,,,1
1.875,5.295807605879114,,,1
1.9000000000000001,5.19139921260846,,,1
1.925,5.086953349573031,,,1
1.9500000000000002,4.982470088823934,,,1
1.975,4.877949513484562,,,1
2.0,4.773391718986435,,,1
2.025,4.668796814465472,,,1
2.0500000000000003,4.564164924362066,,,1
2.075,4.459496190236962,,,1
2.1,4.354790772861144,,,1
2.125,4.250048854611056,,,1
2.15,4.1452706422296135,,,1
2.1750000000000003,4.040456370024684,,,1
2.2,3.935606303574267,,,1
2.225,3.830720744053102,,,1
2.25,3.7258000332884755,,,1
2.275,3.620844559700745,,,1
2.3000000000000003,3.5158547653170253,,,1
2.325,3.410831154085674,,,1
2.35,3.3057743017835315,,,1
2.375,3.200684867883775,,,1
2.4000000000000004,3.095563609852856,,,1
2.4250000000000003,2.990411400477933,,,1
2.45,2.885229248991859,,,1
2.475,2.7800183270203704,,,1
2.5,2.674780000665701,,,1
2.5250000000000004,2.569515870500104,,,1
2.5500000000000003,2.4642278218382963,,,1
2.575,2.358918088496593,,,1
2.6,2.2535909407800148,,,1
2.625,2.1482503803841317,,,1
2.6500000000000004,2.0428982259683104,,,1
2.6750000000000003,1.9375392675387353,,,1
2.7,1.8321794132982292,,,1
2.725,1.7268260309310346,,,1
2.75,1.6214884216557592,,,1
2.7750000000000004,1.5161784913033884,,,1
2.8000000000000003,1.4109117207255735,,,1
2.825,1.3057086031318712,,,1
2.85,1.2005968320021505,,,1
2.875,1.095614737583549,,,1
2.9000000000000004,0.9908168842403613,,,1
2.9250000000000003,0.8862884792569754,,,1
2.95,0.7821661093100514,,,1
2.975,0.6786362487455226,,,1
3.0,0.6226702992908466,,,1
3.0250000000000004,0.6171187703601932,,,1
3.0500000000000003,0.7172596918026918,,,1
3.075,0.8174390558730721,,,1
3.1,0.9176564295150298,,,1
3.125,1.017911572139273,,,1
3.1500000000000004,1.1182043495183782,,,1
3.1750000000000003,1.2185346901319702,,,1
3.2,1.3189025614003473,,,1
3.225,1.4193079559767279,,,1
3.25,1.5197508834658044,,,1
3.2750000000000004,1.6202313652118192,,,1
3.3000000000000003,1.7207494309109355,,,1
3.325,1.8213051163385572,,,1
3.35,1.9218984617909936,,,1
3.375,2.022529510990801,,,1
3.4000000000000004,2.123198310299376,,,1
3.4250000000000003,2.2239049081454363,,,1
3.45,2.3246493546028875,,,1
3.475,2.4254317010684163,,,1
3.5,2.526252000020476,,,1
3.5250000000000004,2.627110304833062,,,1
3.5500000000000003,2.7280066696282024,,,1
3.575,2.828941149162723,,,1
3.6,2.929913798735683,,,1
3.625,3.030924674117899,,,1
3.6500000000000004,3.131973831490188,,,1
3.6750000000000003,3.233061327397721,,,1
3.7,3.334187218710785,,,1
3.725,3.435351562591406,,,1
3.75,3.5365544164669553,,,1
3.7750000000000004,3.637795838009444,,,1
3.8000000000000003,3.7390758851144144,,,1
3.825,3.840394615888145,,,1
3.85,3.941752088631554,,,1
3.875,4.043148361831206,,,1
3.9000000000000004,4.144583494148737,,,1
3.9250000000000003,4.246057544413143,,,1
3.95,4.347570571612627,,,1
3.975,4.4491226348914985,,,1
4.0,4.5507137935413216,,,1
4.025,4.652344106997983,,,1
4.05,4.75401363483994,,,1
4.075,4.855722436780854,,,1
4.1000000000000005,4.957470572669527,,,1
4.125,5.0592581024861705,,,1
4.15,5.161085086341928,,,1
4.175,5.262951584473207,,,1
4.2,5.36485765724403,,,1
4.2250000000000005,5.466803365142215,,,1
4.25,5.5687887687789255,,,1
4.275,5.670813928886526,,,1
4.3,5.7728789063195265,,,1
4.325,5.874983762051801,,,1
4.3500000000000005,5.977128557176737,,,1
4.375,6.079313352905954,,,1
4.4,6.181538210569898,,,1
4.425,6.283803191615938,,,1
4.45,6.3861083576093,,,1
4.4750000000000005,6.4884537702314296,,,1
4.5,6.59083949128106,,,1
4.525,6.693265582672503,,,1
4.55,6.795732106435323,,,1
