time_s,bomb_1_worst_distance_m,bomb_2_worst_distance_m,bomb_3_worst_distance_m,coverage_count
0.0,,,,0
0.01,30.094853853154678,,,0
0.02,30.054507098080315,,,0
0.03,30.014154797049084,,,0
0.04,29.973796947478224,,,0
0.05,29.933433546785942,,,0
0.06,29.893064592393284,,,0
0.07,29.852690081721672,,,0
0.08,29.81231001219556,,,0
0.09,29.771924381239778,,,0
0.1,29.731533186281936,,,0
0.11,29.69113642475066,,,0
0.12,29.650734094076586,,,0
0.13,29.610326191692575,,,0
0.14,29.56991271503207,,,0
0.15,29.52949366153233,,,0
0.16,29.489069028630656,,,0
0.17,29.448638813767424,,,0
0.18,29.408203014384203,,,0
0.19,29.36776162792469,,,0
0.2,29.32731465183563,,,0
0.21,29.28686208356388,,,0
0.22,29.246403920560326,,,0
0.23,29.205940160276025,,,0
0.24,29.16547080016592,,,0
0.25,29.12499583768584,,,0
0.26,29.084515270294247,,,0
0.27,29.044029095452032,,,0
0.28,29.003537310621976,,,0
0.29,28.963039913268787,,,0
0.3,28.922536900860703,,,0
0.31,28.882028270866634,,,0
0.32,28.841514020759615,,,0
0.33,28.800994148013707,,,0
0.34,28.76046865010541,,,0
0.35000000000000003,28.719937524514805,,,0
0.36,28.679400768723216,,,0
0.37,28.638858380215364,,,0
0.38,28.598310356478294,,,0
0.39,28.557756695001146,,,0
0.4,28.517197393276096,,,0
0.41000000000000003,28.476632448798505,,,0
0.42,28.436061859065187,,,0
0.43,28.39548562157652,,,0
0.44,28.354903733835567,,,0
0.45,28.314316193348635,,,0
0.46,28.27372299762339,,,0
0.47000000000000003,28.23312414417207,,,0
0.48,28.19251963050876,,,0
0.49,28.15190945415073,,,0
0.5,28.11129361261842,,,0
0.51,28.070672242184823,,,0
0.52,28.030045304283203,,,0
0.53,27.989412693566276,,,0
0.54,27.94877440756675,,,0
0.55,27.90813044381952,,,0
0.56,27.867480799864833,,,0
0.5700000000000001,27.82682547324379,,,0
0.58,27.786164461502604,,,0
