drone_id,path_source,missile_id,heading_deg,speed_mps,drop_time_s,fuse_delay_s,coarse_duration_s
FY1,M1,M1,6.945852317258661,139.99124999999998,0.0,0.7374234659958209,4.5878752337331665
FY1,M1,M1,6.945852317258661,139.99124999999998,0.09317565145382212,0.5400661714614006,4.574717538604173
FY1,M1,M1,6.945852317258661,139.99124999999998,0.08483227609884247,0.4296095745533587,4.567635284109082
FY1,M1,M1,6.945852317258661,139.99124999999998,1.2659047374595072,0.03978818313261363,1.2969180059220125
FY1,M2,M1,180.0,120.0,0.06354244638615025,3.273543294205167,2.9740925369351734
FY1,M2,M1,180.0,120.0,1.4236193868048694,4.116089039142079,2.927853418911287
FY1,M2,M1,180.0,120.0,2.0961449562099608,4.443663811945912,2.9071972241426343
FY1,M2,M1,180.0,120.0,3.2650518706040144,4.763764204651758,2.5168876425449973
FY1,M2,M1,180.0,120.0,0.6211788056987464,3.315323792415053,2.458892134972233
FY1,M2,M1,180.0,120.0,3.7289968812734244,4.880519727727263,2.1979012382931913
FY1,M2,M1,180.0,120.0,1.9705638472786062,3.941127694557212,1.6597485158752008
FY1,M3,M1,180.0,120.0,0.844842878762194,3.797682385185746,2.947474871668134
FY1,M3,M1,180.0,120.0,1.8238720299453108,4.314860276069218,2.9154981249382868
FY1,M3,M1,180.0,120.0,0.0,0.0,2.551142818582475
FY1,M3,M1,180.0,120.0,3.2650518706040144,4.763764204651758,2.5168876425449973
FY1,M3,M1,180.0,120.0,3.7289968812734244,4.880519727727263,2.1979012382931913
FY1,M3,M1,180.0,120.0,5.911691541835818,5.911691541835818,0.221314661119008
FY1,M1-three-bomb,M1,9.236484,103.596493,0.0,0.4829728829439407,4.540615276677908
FY1,M1-three-bomb,M1,9.236484,103.596493,0.0,0.7096441450949333,4.519555586845482
FY1,M1-three-bomb,M1,9.236484,103.596493,0.12191221668496943,0.5086682144441844,4.488494315427836
FY1,M1-three-bomb,M1,9.236484,103.596493,0.11880298509309856,0.21120530683217542,3.867574504282281
FY1,M1-three-bomb,M1,9.236484,103.596493,1.0,0.0,3.824885397969405
FY1,M1-three-bomb,M1,9.236484,103.596493,0.0,0.005102,2.576406001911285
FY2,M1,M1,280.19192130188935,119.7465028251595,5.999864047421786,5.613850323762069,3.8347896608024072
FY2,M1,M1,280.19192130188935,119.7465028251595,6.05376730841097,5.575649993430886,3.8128334360237623
FY2,M1,M1,280.19192130188935,119.7465028251595,6.183406181298409,5.497307360692917,3.770657103026295
FY2,M1,M2,280.19192130188935,119.7465028251595,5.143516652262085,3.0798293988838052,3.915162288026057
FY2,M1,M2,280.19192130188935,119.7465028251595,5.219682005183227,3.0176094418638297,3.906489320210344
FY2,M1,M2,280.19192130188935,119.7465028251595,5.602917097590453,2.6403509476999605,2.2788475671413515
FY2,M2,M2,300.59945740304835,123.34161264962333,8.672062435631458,0.4300760431210565,3.9280461795279766
FY2,M2,M2,300.59945740304835,123.34161264962333,8.93734163126701,0.21260963343236175,3.6729293035795614
FY3,M1,M1,78.24891581523705,132.66917535866548,22.01269357697923,1.6885094166451107,3.0155275100977796
FY3,M1,M1,78.24891581523705,132.66917535866548,22.15476393378547,1.533876715312471,2.9784828965472023
FY3,M1,M1,78.24891581523705,132.66917535866548,22.650742326231278,0.9960238411119946,2.7804386505244167
FY3,M1,M1,78.24891581523705,132.66917535866548,23.646766167343273,0.0,1.571307011579691
FY3,M2,M1,88.90258296798298,124.82421440185331,21.052143731163717,3.597930066963999,2.832664536170441
FY3,M2,M1,88.90258296798298,124.82421440185331,21.088411467787083,3.5239752967614306,2.7845217269970632
FY3,M2,M1,88.90258296798298,124.82421440185331,21.26759205811732,3.2401085020445253,2.6349046354549017
FY3,M2,M1,88.90258296798298,124.82421440185331,21.384064626885472,3.0608242106443617,2.517949582883695
FY3,M2,M2,88.90258296798298,124.82421440185331,24.10870664243407,2.1534035444841346,2.9304747987368174
FY3,M2,M2,88.90258296798298,124.82421440185331,24.2092465087302,2.0402114887514093,2.9061290869284484
FY3,M2,M3,88.90258296798298,124.82421440185331,19.79212684488296,3.321241498187949,2.93634683414
FY3,M2,M3,88.90258296798298,124.82421440185331,19.81662717421642,3.281649550503747,2.9225032741461554
FY3,M2,M3,88.90258296798298,124.82421440185331,20.237576914805086,2.6857981099264903,2.6834912693345814
FY3,M2,M3,88.90258296798298,124.82421440185331,20.41618053290196,2.4392822092512754,2.5459877895607868
FY3,M2,M3,88.90258296798298,124.82421440185331,20.0932271307396,2.988071523335984,2.07399312480554
FY3,M2,M3,88.90258296798298,124.82421440185331,21.099655464917696,1.3785168184670002,1.7542475815943348
FY4,M2,M2,306.5108628896607,138.77828180296348,4.666303731936562,9.563953424618248,3.798183633318583
FY5,M3,M3,115.19024800624231,138.89976278423063,12.246621631583992,0.5767295529530098,3.7517002867725058
